"Population estimates, quarterly 1 2 3 4"
"Frequency: Quarterly"
"Table: 17-10-0009-01 (formerly CANSIM 051-0005)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada","Newfoundland and Labrador","Prince Edward Island","Nova Scotia","New Brunswick","Quebec","Ontario","Manitoba","Saskatchewan","Alberta","British Columbia","Yukon","Northwest Territories 5","Nunavut 5"
"Reference period"
,"Persons",,,,,,,,,,,,,
"Q1 2010","33,809,016","520,276","140,598","940,879","751,282","7,886,127","13,059,426","1,213,941","1,042,936","3,702,290","4,441,345","34,009","42,981","32,926"
"Q2 2010","33,890,461","521,197","140,978","940,967","752,020","7,903,676","13,088,924","1,216,618","1,046,779","3,714,999","4,453,756","34,243","43,161","33,143"
"Q3 2010","34,005,902","522,002","141,644","942,144","753,034","7,929,479","13,136,481","1,220,782","1,051,426","3,732,104","4,465,557","34,598","43,292","33,359"
"Q4 2010","34,132,531","522,861","142,725","944,201","754,287","7,955,183","13,189,987","1,224,663","1,056,102","3,747,235","4,483,613","34,790","43,307","33,577"
"Q1 2011","34,166,633","523,723","143,016","944,082","754,795","7,967,270","13,199,081","1,227,210","1,058,969","3,754,422","4,482,262","34,802","43,265","33,736"
"Q2 2011","34,230,555","524,238","143,265","943,921","754,843","7,982,145","13,222,146","1,229,058","1,061,484","3,768,774","4,488,509","34,984","43,263","33,925"
"Q3 2011","34,339,221","524,955","143,918","944,095","755,590","8,004,736","13,262,345","1,233,353","1,065,661","3,787,705","4,503,819","35,366","43,493","34,185"
"Q4 2011","34,457,713","525,845","144,283","944,645","756,187","8,021,063","13,310,604","1,237,390","1,069,950","3,805,071","4,529,186","35,578","43,576","34,335"
"Q1 2012","34,516,032","526,115","144,208","943,907","757,039","8,028,516","13,325,337","1,241,417","1,073,565","3,822,425","4,539,775","35,695","43,630","34,403"
"Q2 2012","34,592,192","525,550","144,365","943,317","757,024","8,038,332","13,350,123","1,244,884","1,077,170","3,845,093","4,552,320","35,757","43,678","34,579"
"Q3 2012","34,713,395","526,235","144,415","943,163","758,121","8,059,752","13,392,364","1,249,094","1,083,005","3,871,947","4,570,866","36,151","43,624","34,658"
"Q4 2012","34,834,973","527,065","144,396","942,829","758,408","8,076,838","13,436,625","1,253,210","1,088,177","3,897,746","4,594,846","36,347","43,656","34,830"
"Q1 2013","34,881,794","527,129","144,041","942,045","758,026","8,081,006","13,446,276","1,256,879","1,090,738","3,917,941","4,602,742","36,299","43,709","34,963"
"Q2 2013","34,956,567","527,177","143,807","940,647","757,854","8,089,004","13,469,151","1,259,693","1,093,549","3,944,281","4,616,335","36,242","43,840","34,987"
